"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Primary Source","Activity Status","Deactivation Date","Population Served Count","Rule Name","Violation Code","Violation Type","Violation Category Code","Is Health Based","Contaminant Name","Compliance Period Begin Date","Compliance Period End Date","Compliance Status","RTC Date","Enforcement Action Type Code","Enforcement Action Description","Is Major Violation","Severity Indicator Count","Public Notification Tier","Violation First Reported Date"
"ID6060077","SNAKE RIVER MIDDLE SCHOOL","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Active","-","300","Lead and Copper Rule","66","Lead Consumer Notice","MR","N","Lead and Copper Rule","29-SEP-2020","-","Open","-","-","-","-","-","3","02-DEC-2020"
"ID6060075","SNAKE RIVER JR HIGH SCHOOL","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Active","-","300","Lead and Copper Rule","66","Lead Consumer Notice","MR","N","Lead and Copper Rule","29-SEP-2020","-","Open","-","-","-","-","-","3","02-DEC-2020"
"ID5070095","MOUNTAIN HUMANE","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Active","-","25","Lead and Copper Rule","66","Lead Consumer Notice","MR","N","Lead and Copper Rule","29-SEP-2020","-","Open","-","-","-","-","-","3","02-DEC-2020"
"ID5270035","OFFICE WAREHOUSE COMPLEX","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Active","-","71","Lead and Copper Rule","66","Lead Consumer Notice","MR","N","Lead and Copper Rule","29-SEP-2020","-","Open","-","-","-","-","-","3","02-DEC-2020"
"ID1280343","LAKELAND MEADOWS","Region 10","Idaho","Community water system","State","Ground water","Active","-","25","Lead and Copper Rule","66","Lead Consumer Notice","MR","N","Lead and Copper Rule","29-SEP-2020","-","Open","-","-","-","-","-","3","02-DEC-2020"
"ID3370044","DERUYTERS DAIRY HOUSING","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Active","-","36","Lead and Copper Rule","66","Lead Consumer Notice","MR","N","Lead and Copper Rule","29-SEP-2020","-","Open","-","-","-","-","-","3","02-DEC-2020"
"ID3140016","SIMPLOT POTATO NAMPA PLANT","Region 10","Idaho","Non-Transient non-community system","State","Ground water","Changed from public to non-public","02-SEP-2020","0","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","03-SEP-2020","-","System Inactive","02-SEP-2020","-","-","-","-","3","02-DEC-2020"
"OR4100295","BIG SPRUCE MHP LLC","Region 10","Oregon","Community water system","State","Ground water","Active","-","80","Lead and Copper Rule","59","WQP Entry Point/Tap Treatment Technique Non-Compliance","TT","Y","Lead and Copper Rule","01-JUL-2020","31-DEC-2020","Known","-","SIE","State Public Notification requested","-","-","2","24-NOV-2020"
"OR4194991","HILLSVIEW COVENANT CHURCH","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","50","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2330134","CONOCO PHILLIPS AKS WILLOW 2","Region 10","Alaska","Transient non-community system","State","Surface water","Inactive","01-APR-2020","480","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","System Inactive","01-APR-2020","-","-","-","-","3","11-DEC-2020"
"AK2340379","SELAWIK SAFEWATER FACILITY","Region 10","Alaska","Community water system","State","Surface water","Active","-","846","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","24-AUG-2020","SOX","State Compliance achieved","-","-","3","19-NOV-2020"
"OR4100682","PRINEVILLE, CITY OF","Region 10","Oregon","Community water system","State","Ground water","Active","-","9,645","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100557","NEWBERG, CITY OF","Region 10","Oregon","Community water system","State","Ground water","Active","-","23,795","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","02-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4100562","CHEHALEM MTN SUN RIDGE WATER CO","Region 10","Oregon","Community water system","State","Ground water","Active","-","70","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100562","CHEHALEM MTN SUN RIDGE WATER CO","Region 10","Oregon","Community water system","State","Ground water","Active","-","70","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100562","CHEHALEM MTN SUN RIDGE WATER CO","Region 10","Oregon","Community water system","State","Ground water","Active","-","70","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4191707","PLEASANT VALLEY ELEM SD #55","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","100","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4191707","PLEASANT VALLEY ELEM SD #55","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","100","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4191707","PLEASANT VALLEY ELEM SD #55","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","100","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100922","VERNONIA, CITY OF","Region 10","Oregon","Community water system","State","Surface water","Active","-","2,475","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","03-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4100922","VERNONIA, CITY OF","Region 10","Oregon","Community water system","State","Surface water","Active","-","2,475","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100922","VERNONIA, CITY OF","Region 10","Oregon","Community water system","State","Surface water","Active","-","2,475","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2121522","MCKENZIE INLET LOGGING CAMP","Region 10","Alaska","Non-Transient non-community system","State","Surface water","Active","-","45","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100121","WALLACE ACRES WATER COMPANY","Region 10","Oregon","Community water system","State","Ground water","Active","-","80","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","20-JUL-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"AK2220038","VALLEY BUSINESS CENTER","Region 10","Alaska","Non-Transient non-community system","State","Ground water","Active","-","57","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4100323","GLENDALE, CITY OF","Region 10","Oregon","Community water system","State","Surface water","Active","-","980","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","10-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4106090","MCCUDDYS","Region 10","Oregon","Community water system","State","Ground water","Active","-","70","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","21-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4100898","TIMBER WATER ASSOCIATION","Region 10","Oregon","Community water system","State","Surface water","Active","-","180","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Returned to Compliance","10-SEP-2020","SOX","State Compliance achieved","-","-","3","24-NOV-2020"
"OR4100898","TIMBER WATER ASSOCIATION","Region 10","Oregon","Community water system","State","Surface water","Active","-","180","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4191567","SUNSHINE PLAZA","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","27","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"AK2300183","CHALKYITSIK VILLAGE WATER","Region 10","Alaska","Community water system","State","Surface water","Active","-","76","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"AK2300816","ALLAKAKET PUBLIC WATER SYSTEM","Region 10","Alaska","Community water system","State","Ground water","Active","-","135","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","19-NOV-2020"
"OR4194865","EASTGATE CENTER","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","200","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4194865","EASTGATE CENTER","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","200","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4194865","EASTGATE CENTER","Region 10","Oregon","Non-Transient non-community system","State","Ground water","Active","-","200","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
"OR4100525","VILLADOM MOBILE HOME PARK","Region 10","Oregon","Community water system","State","Ground water","Active","-","96","Lead and Copper Rule","56","Initial, Follow-up, or Routine Source Water M/R","MR","N","Lead and Copper Rule","01-JUL-2020","-","Open","-","-","-","-","-","3","24-NOV-2020"
