"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Area Type","County Served","City Served","Zip Code Served","Tribal Code","Tribal Description","Activity Status","Deactivation Date","Address Line1","Address Line2","State Code","Zip Code"
"055295506","NACOTTE","05","EPA Region 5","Community water system","Tribal","-","-","-","-","-","-","Changed from public to non-public","14-OCT-2009","MENOMINEE TRIBAL LEGISLATURE","P.O. BOX 397","WI","54135"
"050595006","STOCKBRIDGE-MUNSEE TRIB'L BNGO","05","EPA Region 5","Non-Transient non-community system","Tribal","County","-","-","-","-","-","Changed from public to non-public","22-MAY-2003","STOCKBRIDGE-MUNSEE TRIBAL COUN","ROUTE 1","WI","54416"
"IL0010010","PALM GARDENS MHP","05","Illinois","Community water system","State","County","Adams","-","-","-","-","Changed from public to non-public","12-SEP-2007","-","-","IL","62301"
"IL0010010","PALM GARDENS MHP","05","Illinois","Community water system","State","City","-","QUINCY","-","-","-","Changed from public to non-public","12-SEP-2007","-","-","IL","62301"
"IL3017657","FIN AND FEATHER CAMPING RESORT (17657)","05","Illinois","Transient non-community system","State","County","Carroll","-","-","-","-","Changed from public to non-public","29-OCT-2007","6229 RIVERVIEW ROAD","-","IL","61285"
"IL3018515","ANNA PAGE PK ARTESIAN WELL","05","Illinois","Transient non-community system","State","County","Winnebago","-","-","-","-","Changed from public to non-public","21-OCT-2004","-","5600 PORTER ROAD","IL","61107"
"IL0310320","POOR CLARES MONASTERY","05","Illinois","Community water system","State","County","Cook","-","-","-","-","Changed from public to non-public","13-APR-2009","12210 S. WILL COOK RD.","-","IL","60464"
"IL0115525","THE GROVE MHP","05","Illinois","Community water system","State","County","Bureau","-","-","-","-","Changed from public to non-public","20-AUG-2010","333 HILLVIEW DRIVE","-","IL","61356"
"IL0190550","PESOTUM","05","Illinois","Community water system","State","City","-","PESOTUM","-","-","-","Changed from public to non-public","11-JUL-2007","Village Hall","103 E. Lincoln St.  PO Box 200","IL","61863"
"IL0190550","PESOTUM","05","Illinois","Community water system","State","County","Champaign","-","-","-","-","Changed from public to non-public","11-JUL-2007","Village Hall","103 E. Lincoln St.  PO Box 200","IL","61863"
